,URL
186,https://www.jobstreet.com.sg/en/job/business-intelligent-analyst-data-and-market-analysis-immediate-6598651?fr=21&src=16&srcr=16.1
187,https://www.jobstreet.com.sg/en/job/data-and-business-analyst-6604586?fr=21&src=16&srcr=16.1
188,https://www.jobstreet.com.sg/en/job/data-analyst-salary-5000-woodlands-mnc-6603514?fr=21&src=16&srcr=16.1
189,https://www.jobstreet.com.sg/en/job/business-application-analyst-finance-wms-data-management-6603155?fr=21&src=16&srcr=16.1
190,https://www.jobstreet.com.sg/en/job/business-data-analyst-retail-analyticstableaubi4kgood-bonuscbd-6601119?fr=21&src=16&srcr=16.1
191,https://www.jobstreet.com.sg/en/job/data-analyst-sql-urgent-6568005?fr=21&src=16&srcr=16.1
192,https://www.jobstreet.com.sg/en/job/data-analyst-up-to-6000-base-in-cambodia-6602098?fr=21&src=16&srcr=16.1
193,https://www.jobstreet.com.sg/en/job/data-and-research-analyst-7kmnc-central-refjt-6601973?fr=21&src=16&srcr=16.1
194,https://www.jobstreet.com.sg/en/job/contract-data-analyst-12months-jurong-6600157?fr=21&src=16&srcr=16.1
195,https://www.jobstreet.com.sg/en/job/data-analyst-hadoop-govt1yr-cont-6k-6600001?fr=21&src=16&srcr=16.1
196,https://www.jobstreet.com.sg/en/job/7-months-contract-mis-reporting-data-analyst-6599696?fr=21&src=16&srcr=16
197,https://www.jobstreet.com.sg/en/job/data-analyst-real-estate-construction-6599597?fr=21&src=16&srcr=16
198,https://www.jobstreet.com.sg/en/job/master-data-management-analyst-product-information-management-6599512?fr=21&src=16&srcr=16
199,https://www.jobstreet.com.sg/en/job/project-data-analyst-6-months2500suntec-6566097?fr=21&src=16&srcr=16
200,https://www.jobstreet.com.sg/en/job/data-analyst-6-months-contract-2800-suntec-6565995?fr=21&src=16&srcr=16
201,https://www.jobstreet.com.sg/en/job/data-analysts-2500-3-to-6-months-suntec-6565734?fr=21&src=16&srcr=16
202,https://www.jobstreet.com.sg/en/job/vpavp-edag-project-analyst-data-management-office-6563961?fr=21&src=16&srcr=16
203,https://www.jobstreet.com.sg/en/job/6-months-contract-datafinance-analyst-6598540?fr=21&src=16&srcr=16
204,https://www.jobstreet.com.sg/en/job/data-analyst-healthcare-6596678?fr=21&src=16&srcr=16
205,https://www.jobstreet.com.sg/en/job/data-scientist-analyst-up-7k-jurong-phd-masters-6596569?fr=21&src=16&srcr=16
206,https://www.jobstreet.com.sg/en/job/data-analyst-entry-level-6595624?fr=21&src=16&srcr=16
207,https://www.jobstreet.com.sg/en/job/senior-data-business-analyst-6594830?fr=21&src=16&srcr=16
208,https://www.jobstreet.com.sg/en/job/regional-data-analyst-fmcg-industry-6594279?fr=21&src=16&srcr=16
209,https://www.jobstreet.com.sg/en/job/data-analyst-salary-5000-woodlands-mnc-6593796?fr=21&src=16&srcr=16
210,https://www.jobstreet.com.sg/en/job/master-data-analyst-sap-6592910?fr=21&src=16&srcr=16
211,https://www.jobstreet.com.sg/en/job/data-support-analyst-6591258?fr=21&src=16&srcr=16
212,https://www.jobstreet.com.sg/en/job/perm-data-analyst-pythonsparkbig-data-european-it-mnc-west-s7k-6591099?fr=21&src=16&srcr=16
213,https://www.jobstreet.com.sg/en/job/business-intelligent-analyst-data-and-market-analysis-immediate-6583134?fr=21&src=16&srcr=16
214,https://www.jobstreet.com.sg/en/job/business-intelligent-analyst-data-and-market-analysis-immediate-6583117?fr=21&src=16&srcr=16
215,https://www.jobstreet.com.sg/en/job/perm-data-analyst-pythonsparkbig-data-european-it-mnc-west-s7k-6587009?fr=21&src=16&srcr=16
216,https://www.jobstreet.com.sg/en/job/7-months-contract-mis-reporting-data-analyst-6599696?fr=21&src=16&srcr=16.1
217,https://www.jobstreet.com.sg/en/job/data-analyst-real-estate-construction-6599597?fr=21&src=16&srcr=16.1
218,https://www.jobstreet.com.sg/en/job/master-data-management-analyst-product-information-management-6599512?fr=21&src=16&srcr=16.1
219,https://www.jobstreet.com.sg/en/job/project-data-analyst-6-months2500suntec-6566097?fr=21&src=16&srcr=16.1
220,https://www.jobstreet.com.sg/en/job/data-analyst-6-months-contract-2800-suntec-6565995?fr=21&src=16&srcr=16.1
221,https://www.jobstreet.com.sg/en/job/data-analysts-2500-3-to-6-months-suntec-6565734?fr=21&src=16&srcr=16.1
222,https://www.jobstreet.com.sg/en/job/vpavp-edag-project-analyst-data-management-office-6563961?fr=21&src=16&srcr=16.1
223,https://www.jobstreet.com.sg/en/job/6-months-contract-datafinance-analyst-6598540?fr=21&src=16&srcr=16.1
224,https://www.jobstreet.com.sg/en/job/data-analyst-healthcare-6596678?fr=21&src=16&srcr=16.1
225,https://www.jobstreet.com.sg/en/job/data-scientist-analyst-up-7k-jurong-phd-masters-6596569?fr=21&src=16&srcr=16.1
226,https://www.jobstreet.com.sg/en/job/data-analyst-entry-level-6595624?fr=21&src=16&srcr=16.1
227,https://www.jobstreet.com.sg/en/job/senior-data-business-analyst-6594830?fr=21&src=16&srcr=16.1
228,https://www.jobstreet.com.sg/en/job/regional-data-analyst-fmcg-industry-6594279?fr=21&src=16&srcr=16.1
229,https://www.jobstreet.com.sg/en/job/data-analyst-salary-5000-woodlands-mnc-6593796?fr=21&src=16&srcr=16.1
230,https://www.jobstreet.com.sg/en/job/master-data-analyst-sap-6592910?fr=21&src=16&srcr=16.1
231,https://www.jobstreet.com.sg/en/job/data-support-analyst-6591258?fr=21&src=16&srcr=16.1
232,https://www.jobstreet.com.sg/en/job/perm-data-analyst-pythonsparkbig-data-european-it-mnc-west-s7k-6591099?fr=21&src=16&srcr=16.1
233,https://www.jobstreet.com.sg/en/job/business-intelligent-analyst-data-and-market-analysis-immediate-6583134?fr=21&src=16&srcr=16.1
